ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month,EDUCATION_GROUP,MARRIAGE_GROUP,MAX_PAY_DELAY,AVG_PAY_STATUS,NUM_DELAYED_MONTHS,TOTAL_BILL_6M,TOTAL_PAYMENT_6M,AVG_BILL_6M,AVG_PAYMENT_6M,PAYMENT_TO_BILL_RATIO,AVG_UTILIZATION,LAST_MONTH_UTILIZATION,DELAY_GROUP
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,2,1,2,-0.3333333333333333,2,7704.0,689.0,1284.0,114.83333333333333,0.08942245295262817,0.06419679016049197,0.19564021798910056,2 months
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,2,2,2,0.5,2,17077.0,5000.0,2846.1666666666665,833.3333333333334,0.29277432954678534,0.023717857906739664,0.02234981375155207,2 months
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,2,2,0,0.0,0,101653.0,11018.0,16942.166666666668,1836.3333333333333,0.10838727448009916,0.18824420469402192,0.3248741680647993,≤ 0
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,2,1,0,0.0,0,231334.0,8388.0,38555.666666666664,1398.0,0.03625910476149307,0.7710979113751057,0.9397812043759125,≤ 0
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,2,1,0,-0.3333333333333333,0,109339.0,59049.0,18223.166666666668,9841.5,0.5400493872324859,0.3644560442124491,0.17233655326893463,≤ 0
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,1,2,0,0.0,0,238114.0,7772.0,39685.666666666664,1295.3333333333333,0.03263969090565483,0.7936974593841456,1.2879742405151897,≤ 0
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,1,2,0,0.0,0,2724595.0,180759.0,454099.1666666667,30126.5,0.0663434138492459,0.9081965169402995,0.7359285281429437,≤ 0
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,2,2,0,-0.5,0,13486.0,4791.0,2247.6666666666665,798.5,0.3552309631496997,0.02247644190224764,0.11875881241187589,≤ 0
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,3,1,2,0.3333333333333333,1,65212.0,6761.0,10868.666666666666,1126.8333333333333,0.10367564749359791,0.07763277881348467,0.08060656709594931,2 months
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,3,2,-1,-1.6666666666666667,0,26919.0,14129.0,4486.5,2354.8333333333335,0.524851411589896,0.22431378431078447,0.0,≤ 0
