Feature,Importance
numerical__MAX_PAY_DELAY,0.329983
numerical__NUM_DELAYED_MONTHS,0.17949472
numerical__AVG_PAY_STATUS,0.053314712
categorical__PAY_0_2,0.050404787
categorical__PAY_0_0,0.02780972
numerical__AVG_BILL_6M,0.019818304
numerical__AVG_PAYMENT_6M,0.015645
numerical__TOTAL_PAYMENT_6M,0.013344815
numerical__LAST_MONTH_UTILIZATION,0.013086738
numerical__LIMIT_BAL,0.010236967
categorical__PAY_0_-2,0.010151037
numerical__TOTAL_BILL_6M,0.009943237
numerical__PAY_AMT2,0.009488571
categorical__PAY_3_-2,0.008902019
categorical__PAY_0_1,0.008888148
numerical__PAY_AMT1,0.008529236
numerical__PAYMENT_TO_BILL_RATIO,0.008519095
categorical__EDUCATION_GROUP_4,0.008027191
numerical__AVG_UTILIZATION,0.008026469
categorical__PAY_3_2,0.0079960525
numerical__BILL_AMT1,0.00774957
categorical__PAY_0_3,0.007731119
categorical__PAY_3_-1,0.00754739
categorical__PAY_6_-2,0.007514531
numerical__PAY_AMT3,0.007270453
categorical__SEX_2,0.007233847
numerical__PAY_AMT6,0.0069184517
categorical__MARRIAGE_GROUP_2,0.0066275215
categorical__PAY_2_-2,0.006481714
categorical__PAY_3_0,0.0063729244
categorical__SEX_1,0.0061272862
categorical__PAY_4_-2,0.006008928
numerical__BILL_AMT2,0.0059620417
categorical__PAY_0_-1,0.005889503
numerical__BILL_AMT5,0.005573341
categorical__EDUCATION_GROUP_2,0.005542893
numerical__BILL_AMT4,0.005404735
numerical__BILL_AMT3,0.0052888365
categorical__PAY_2_2,0.005118149
numerical__PAY_AMT4,0.005096114
categorical__PAY_4_0,0.0050905757
categorical__EDUCATION_GROUP_1,0.005022084
categorical__PAY_6_0,0.0049012606
categorical__PAY_4_-1,0.0048801317
numerical__AGE,0.00450053
categorical__PAY_6_-1,0.004363699
numerical__BILL_AMT6,0.0042261113
numerical__PAY_AMT5,0.0041955975
categorical__PAY_2_0,0.0037553299
categorical__PAY_2_4,0.0035536727
categorical__MARRIAGE_GROUP_1,0.0035017023
categorical__PAY_5_3,0.0032896018
categorical__PAY_4_2,0.0031822114
categorical__PAY_5_-1,0.0031107329
categorical__PAY_5_2,0.0030274699
categorical__PAY_4_5,0.0029136671
categorical__EDUCATION_GROUP_3,0.002843289
categorical__PAY_5_4,0.0024104335
categorical__PAY_6_2,0.0021626924
categorical__MARRIAGE_GROUP_3,0.0
categorical__PAY_0_7,0.0
categorical__PAY_2_1,0.0
categorical__PAY_2_-1,0.0
categorical__PAY_0_5,0.0
categorical__PAY_0_4,0.0
categorical__PAY_3_7,0.0
categorical__PAY_3_6,0.0
categorical__PAY_3_5,0.0
categorical__PAY_3_4,0.0
categorical__PAY_3_3,0.0
categorical__PAY_3_1,0.0
categorical__PAY_2_8,0.0
categorical__PAY_2_7,0.0
categorical__PAY_2_3,0.0
categorical__PAY_2_6,0.0
categorical__PAY_2_5,0.0
categorical__PAY_0_6,0.0
categorical__PAY_0_8,0.0
categorical__PAY_4_3,0.0
categorical__PAY_4_4,0.0
categorical__PAY_3_8,0.0
categorical__PAY_5_0,0.0
categorical__PAY_5_-2,0.0
categorical__PAY_4_7,0.0
categorical__PAY_4_8,0.0
categorical__PAY_4_6,0.0
categorical__PAY_4_1,0.0
categorical__PAY_5_6,0.0
categorical__PAY_5_5,0.0
categorical__PAY_5_7,0.0
categorical__PAY_5_8,0.0
categorical__PAY_6_3,0.0
categorical__PAY_6_4,0.0
categorical__PAY_6_5,0.0
categorical__PAY_6_6,0.0
categorical__PAY_6_7,0.0
categorical__PAY_6_8,0.0
